artist_mbid,mbid_canonico,nombre,nombre_orden,tipo,genero,area,anio_inicio,anio_fin,tags,wikidata,fuente
e40d316c-85f5-42b3-9034-5ecbc38e3285,e40d316c-85f5-42b3-9034-5ecbc38e3285,Flying Saucer Attack,Flying Saucer Attack,Group,,United Kingdom,1992,2000,ambient;drone;neo-psychedelia;shoegaze;noise rock,https://www.wikidata.org/wiki/Q797889,musicbrainz
e40edab2-bf76-4675-b0d9-a8350b4d2564,e40edab2-bf76-4675-b0d9-a8350b4d2564,La Máquina de Hacer Pájaros,"Máquina de Hacer Pájaros, La",Group,,Argentina,1976,1977,progressive rock;classic rock;latin rock;symphonic prog;argentine rock,https://www.wikidata.org/wiki/Q6464071,musicbrainz
e40f246d-34c4-4927-bdf3-bb1dc092c497,e40f246d-34c4-4927-bdf3-bb1dc092c497,René Breitbarth,"Breitbarth, René",Person,,,,,,,musicbrainz
e40f8007-07cd-439f-b3cf-27104f146420,e40f8007-07cd-439f-b3cf-27104f146420,DJ X-Change,DJ X-Change,Person,,,,,,,musicbrainz
e4112812-ed91-469e-acfa-7b7e6729a4d1,e4112812-ed91-469e-acfa-7b7e6729a4d1,Fin,Fin,Group,,United Kingdom,1993,,,,musicbrainz
e418aa84-dc3f-491c-b460-c0f0923eaca6,e418aa84-dc3f-491c-b460-c0f0923eaca6,Ivan,Ivan,,,,,,,,musicbrainz
e419bb6a-5fe6-4dfd-bd52-93b12d7a987a,e419bb6a-5fe6-4dfd-bd52-93b12d7a987a,Hectic,Hectic,Person,Male,Gravesend,,,,,musicbrainz
e41b4871-a98d-494a-8cea-b9ba1a3ade1b,e41b4871-a98d-494a-8cea-b9ba1a3ade1b,Celtas Cortos,Celtas Cortos,Group,,Spain,1986,,celtic rock,https://www.wikidata.org/wiki/Q1053205,musicbrainz
e41d07d2-fce7-4487-8109-764684496ad0,e41d07d2-fce7-4487-8109-764684496ad0,Ana Laura,Ana Laura,Person,Female,United States,1985,,,https://www.wikidata.org/wiki/Q4750389,musicbrainz
e422a9d4-c5bf-4ae9-a42c-7210f1e7d32a,e422a9d4-c5bf-4ae9-a42c-7210f1e7d32a,Chris Christian,"Christian, Chris",Person,Male,United States,1955,,aor,https://www.wikidata.org/wiki/Q5106152,musicbrainz
e434c190-2f7b-4256-97d1-4e0d8d825acf,e434c190-2f7b-4256-97d1-4e0d8d825acf,Gold City,Gold City,Group,,United States,1980,,southern gospel,https://www.wikidata.org/wiki/Q5578609,musicbrainz
e43ab2d7-beac-453b-aa02-83756951d71c,e43ab2d7-beac-453b-aa02-83756951d71c,Long John Baldry,"Baldry, Long John",Person,Male,United Kingdom,1941,2005,british;blues;english;uk,https://www.wikidata.org/wiki/Q712880,musicbrainz
e440a16f-9a56-4c1a-ad7b-c9b5908c44c7,e440a16f-9a56-4c1a-ad7b-c9b5908c44c7,Area,Area,Group,,Germany,,,,,musicbrainz
e4459963-7a10-4b15-812b-356db2ceea32,e4459963-7a10-4b15-812b-356db2ceea32,El Meswy,"Meswy, El",Person,Male,Spain,,,hip hop,,musicbrainz
e4466078-fb0f-4899-98a2-7c7dfeb14714,e4466078-fb0f-4899-98a2-7c7dfeb14714,First Aid Kit,First Aid Kit,Group,,Spain,2004,,,,musicbrainz
